name,Band,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma,total,date
world,empirical_2_bands_equation2,13.4892,0.0225,23.1651,14.0229,0.6474,16.3648,16.9502,17.7609,3.7201,1297,2022-11-04
world,empirical_3_bands_equation1,15.71,0.0121,21.8784,15.9637,9.7828,17.2821,17.7054,18.1167,2.1047,1297,2022-11-04
world,empirical_3_bands_equation3,13.3089,0.0182,23.3156,13.5892,5.1354,15.6072,16.2799,16.9526,3.1134,1297,2022-11-04
world,3_bands_model_chl_conc,17.5928,0.0263,29.3023,17.0074,3.0311,21.3946,22.3667,23.4701,4.1569,2938,2023-01-18
world,MCI,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0001,34254,2023-01-18
world,conc_chl,8.3385,0.0365,36.505,3.4683,0.0004,18.4352,20.7715,23.4729,9.0898,2938,2023-01-18
world,conc_tsm,1.5772,0.0132,13.1772,1.2557,0.0189,2.0979,2.4005,2.94,1.1869,2938,2023-01-18
world,empirical_2_bands_equation1,27.7247,0.0344,41.6743,27.5915,7.242,33.686,34.7534,35.993,5.9647,2938,2023-01-18
world,empirical_2_bands_equation2,17.6331,0.0225,25.6599,17.3593,3.165,20.7785,21.4533,22.2182,3.376,2938,2023-01-18
world,empirical_3_bands_equation1,18.2696,0.0136,23.7071,18.0136,10.1189,20.1878,20.6497,21.1661,2.0889,2938,2023-01-18
world,empirical_3_bands_equation3,17.2904,0.0211,26.6469,16.7736,5.5502,20.3601,21.1618,22.0689,3.3722,2938,2023-01-18
world,3_bands_model_chl_conc,13.009,0.0215,26.2332,13.6765,4.7319,15.0955,15.4396,15.9341,3.1747,2957,2023-02-07
world,MCI,0.0,0.0,0.0016,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001,34254,2023-02-07
world,conc_chl,17.3361,0.0393,39.4271,15.784,0.1529,25.524,27.9983,30.0798,8.5377,2957,2023-02-07
world,conc_tsm,2.2195,0.0143,14.4733,1.8723,0.1377,3.2342,3.736,4.4241,1.5819,2957,2023-02-07
world,empirical_2_bands_equation1,21.0181,0.0357,39.1707,22.6678,3.45,24.6681,25.1325,25.9541,5.6704,2957,2023-02-07
world,empirical_2_bands_equation2,13.4839,0.0223,23.9139,14.5716,1.5639,15.8232,16.1138,16.5161,3.6548,2957,2023-02-07
world,empirical_3_bands_equation1,15.845,0.0119,22.4014,16.3225,10.4821,17.0615,17.2403,17.4906,1.8585,2957,2023-02-07
world,empirical_3_bands_equation3,13.4893,0.0182,24.2528,14.143,6.0041,15.2744,15.5481,15.9496,2.7275,2957,2023-02-07
world,3_bands_model_chl_conc,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-02-09
world,MCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34254,2023-02-09
world,conc_chl,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-02-09
world,conc_tsm,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-02-09
world,empirical_2_bands_equation1,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-02-09
world,empirical_2_bands_equation2,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-02-09
world,empirical_3_bands_equation1,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-02-09
world,empirical_3_bands_equation3,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-02-09
world,3_bands_model_chl_conc,5.3036,0.0221,24.1945,4.4725,2.0846,6.3297,7.0594,7.9438,2.359,2939,2023-02-14
world,MCI,0.0,0.0,0.0016,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-02-14
world,conc_chl,3.3422,0.0289,28.9403,2.3156,0.0004,5.2095,6.0777,7.6405,3.3894,2939,2023-02-14
world,conc_tsm,0.3552,0.013,13.0346,0.178,0.0087,0.4255,0.5037,0.5949,0.8454,2939,2023-02-14
world,empirical_2_bands_equation1,8.2816,0.0356,36.7007,6.585,1.1029,11.9958,13.5977,15.8048,5.443,2939,2023-02-14
world,empirical_2_bands_equation2,4.4165,0.023,22.6647,3.3413,-0.3668,6.9572,7.9937,9.3065,3.5656,2939,2023-02-14
world,empirical_3_bands_equation1,11.2335,0.0121,21.5004,10.6958,9.374,12.1024,12.5875,13.1938,1.5564,2939,2023-02-14
world,empirical_3_bands_equation3,7.0179,0.018,22.6461,6.2767,4.6379,8.1135,8.7438,9.5902,2.1309,2939,2023-02-14
world,3_bands_model_chl_conc,16.6592,0.0331,37.2167,16.4573,4.1076,19.0067,19.6027,20.5629,3.0556,2905,2023-02-27
world,MCI,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0001,34254,2023-02-27
world,conc_chl,13.0126,0.0431,43.1114,9.183,0.0003,23.2372,27.4621,31.3421,10.6704,2905,2023-02-27
world,conc_tsm,2.2916,0.0167,16.7003,1.7303,0.0485,3.6619,4.1948,4.711,1.6935,2905,2023-02-27
world,empirical_2_bands_equation1,27.1199,0.04,48.3498,27.6716,8.3532,30.8313,31.5913,32.6312,4.6311,2905,2023-02-27
world,empirical_2_bands_equation2,17.0995,0.0255,29.7839,17.2598,4.3285,19.1181,19.5763,20.1617,2.572,2905,2023-02-27
world,empirical_3_bands_equation1,17.8589,0.016,26.9042,17.8384,10.8868,19.0717,19.36,19.8085,1.5576,2905,2023-02-27
world,empirical_3_bands_equation3,16.5868,0.0263,32.8387,16.493,6.5171,18.4934,18.9935,19.7305,2.4982,2905,2023-02-27
world,3_bands_model_chl_conc,9.3848,0.0194,23.0189,9.0306,3.6444,11.8399,12.4986,13.2736,2.9827,2813,2023-04-03
world,MCI,0.0,0.0,0.0015,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-04-03
world,conc_chl,16.673,0.0405,40.4594,16.3057,0.0009,23.4264,24.7211,27.2295,8.1072,2813,2023-04-03
world,conc_tsm,1.3673,0.0137,13.753,1.2139,0.019,1.8731,1.9555,2.0517,1.0483,2813,2023-04-03
world,empirical_2_bands_equation1,15.2483,0.0348,35.9638,15.0668,1.1355,19.9428,21.0921,22.3808,5.4047,2813,2023-04-03
world,empirical_2_bands_equation2,9.6068,0.022,21.757,9.5492,-0.1995,12.7768,13.5014,14.2698,3.5862,2813,2023-04-03
world,empirical_3_bands_equation1,13.763,0.011,20.8638,13.6081,9.8869,15.3095,15.6937,16.1108,1.7888,2813,2023-04-03
world,empirical_3_bands_equation3,10.4519,0.0163,21.5333,10.1606,5.2633,12.6174,13.1706,13.8051,2.5547,2813,2023-04-03
world,3_bands_model_chl_conc,4.1554,0.0151,17.5227,3.8019,2.3783,4.6197,4.9529,5.3466,1.3434,2545,2023-04-05
world,MCI,0.0,0.0,0.0012,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-04-05
world,conc_chl,2.0773,0.029,28.9931,1.1312,0.0005,2.7548,3.4216,4.3494,2.7325,2545,2023-04-05
world,conc_tsm,0.1903,0.0105,10.5379,0.1087,0.014,0.2034,0.235,0.2981,0.4582,2545,2023-04-05
world,empirical_2_bands_equation1,5.0061,0.0319,32.8685,4.2759,0.9571,5.7119,6.3501,7.4989,2.9131,2545,2023-04-05
world,empirical_2_bands_equation2,2.238,0.019,18.7723,1.6914,-0.2065,2.944,3.4184,4.1966,2.0351,2545,2023-04-05
world,empirical_3_bands_equation1,10.371,0.0091,18.5724,10.0926,9.4837,10.6743,10.8924,11.2105,0.8931,2545,2023-04-05
world,empirical_3_bands_equation3,5.8829,0.0129,17.6816,5.5195,4.7707,6.2425,6.5266,6.9268,1.1853,2545,2023-04-05
world,3_bands_model_chl_conc,8.2449,0.0248,27.8406,7.5917,3.0561,10.0701,10.9128,11.8794,2.8335,1739,2023-04-08
world,MCI,0.0,0.0,0.0018,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-04-08
world,conc_chl,13.429,0.0365,36.5132,11.3926,0.0007,20.2651,22.6019,26.0706,8.0742,1739,2023-04-08
world,conc_tsm,0.8436,0.0143,14.3263,0.6039,0.0172,1.1619,1.3193,1.5483,0.9924,1739,2023-04-08
world,empirical_2_bands_equation1,12.2673,0.0404,41.5271,10.9658,1.1555,16.6178,18.1923,20.1302,5.4588,1739,2023-04-08
world,empirical_2_bands_equation2,7.7402,0.0251,24.8403,7.0263,-0.2852,10.6946,11.6243,12.8805,3.6115,1739,2023-04-08
world,empirical_3_bands_equation1,12.9722,0.0134,23.0904,12.5936,9.7017,14.1869,14.709,15.3249,1.7359,1739,2023-04-08
world,empirical_3_bands_equation3,9.3481,0.0205,25.5064,8.7617,5.0361,10.9725,11.7299,12.6306,2.4765,1739,2023-04-08
world,3_bands_model_chl_conc,5.2815,0.0161,19.4712,4.8726,3.3758,5.613,5.8384,6.1603,1.5896,597,2023-05-03
world,MCI,0.0,0.0,0.0008,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-05-03
world,conc_chl,3.3902,0.0299,30.0727,2.4466,0.2066,4.2684,4.9553,5.7916,3.2903,597,2023-05-03
world,conc_tsm,0.6393,0.0077,7.859,0.571,0.1223,0.8186,0.8728,1.0043,0.4946,597,2023-05-03
world,empirical_2_bands_equation1,5.9636,0.0278,32.0689,5.1759,4.2581,5.899,6.2327,6.8445,2.8579,597,2023-05-03
world,empirical_2_bands_equation2,3.2697,0.018,19.6172,2.6912,1.6108,3.4475,3.6996,4.1137,2.0116,597,2023-05-03
world,empirical_3_bands_equation1,11.0002,0.0094,19.3472,10.7467,9.9887,11.1865,11.2801,11.4954,0.973,597,2023-05-03
world,empirical_3_bands_equation3,6.6838,0.0136,18.9571,6.3386,5.3888,6.8949,7.0306,7.3019,1.356,597,2023-05-03
world,3_bands_model_chl_conc,2.5241,0.0094,10.1349,2.3661,0.6953,2.6871,2.8003,2.9986,0.6834,2111,2023-05-20
world,MCI,0.0,0.0,0.0002,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-05-20
world,conc_chl,0.441,0.0106,10.6162,0.3824,0.0002,0.5416,0.5841,0.616,0.6088,2111,2023-05-20
world,conc_tsm,0.416,0.0029,2.9392,0.3651,0.0107,0.5232,0.5671,0.6345,0.2445,2111,2023-05-20
world,empirical_2_bands_equation1,5.9882,0.0226,23.5193,6.1723,0.8731,6.3534,6.3987,6.444,1.1183,2111,2023-05-20
world,empirical_2_bands_equation2,2.2539,0.0134,13.1277,2.2978,-0.2922,2.4052,2.4454,2.4857,0.7019,2111,2023-05-20
world,empirical_3_bands_equation1,9.7438,0.0056,14.8581,9.6812,9.2249,9.8051,9.8333,9.8784,0.3373,2111,2023-05-20
world,empirical_3_bands_equation3,5.0903,0.0075,11.9485,5.0127,4.4584,5.1625,5.1999,5.2524,0.4335,2111,2023-05-20
world,3_bands_model_chl_conc,2.9812,0.0127,14.6329,2.8121,1.9087,3.1811,3.3465,3.6646,0.882,1514,2023-05-25
world,MCI,0.0,0.0,0.0009,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-05-25
world,conc_chl,0.3585,0.0184,18.4398,0.2408,0.0011,0.3515,0.3883,0.4068,0.9139,1514,2023-05-25
world,conc_tsm,0.1359,0.0086,8.6091,0.0759,0.0071,0.1275,0.1533,0.1792,0.4199,1514,2023-05-25
world,empirical_2_bands_equation1,3.4902,0.0256,26.2926,3.342,0.6781,4.1104,4.3666,4.7252,1.7333,1514,2023-05-25
world,empirical_2_bands_equation2,0.8955,0.0164,16.0021,0.7465,-0.4018,1.1566,1.2878,1.4846,1.1289,1514,2023-05-25
world,empirical_3_bands_equation1,9.6607,0.0077,16.9702,9.5656,9.2571,9.6659,9.7276,9.8355,0.5008,1514,2023-05-25
world,empirical_3_bands_equation3,4.9917,0.0106,15.1312,4.8692,4.497,4.9862,5.0713,5.1989,0.6692,1514,2023-05-25
world,3_bands_model_chl_conc,10.1299,0.0177,20.7997,9.1452,3.1146,14.2385,15.6533,17.0681,4.6503,113,2023-05-28
world,MCI,0.0,0.0,0.0009,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-05-28
world,conc_chl,7.664,0.0248,24.8603,6.8493,0.0517,13.5972,14.8625,15.5323,6.0244,113,2023-05-28
world,conc_tsm,1.2436,0.008,8.0197,1.0558,0.0428,1.6302,1.7418,1.9732,1.2134,113,2023-05-28
world,empirical_2_bands_equation1,16.2724,0.0242,26.9496,15.8919,2.7001,23.7245,24.7914,25.1794,6.9122,113,2023-05-28
world,empirical_2_bands_equation2,10.2895,0.0188,19.4951,9.9604,0.726,15.3096,16.0979,16.9237,5.0088,113,2023-05-28
world,empirical_3_bands_equation1,14.1549,0.0099,19.7063,13.656,9.8202,16.6811,17.2545,17.9466,2.6562,113,2023-05-28
world,empirical_3_bands_equation3,11.0942,0.0144,19.5576,10.2274,5.1813,14.684,15.5754,16.668,3.8322,113,2023-05-28
world,3_bands_model_chl_conc,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-05-30
world,MCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34254,2023-05-30
world,conc_chl,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-05-30
world,conc_tsm,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-05-30
world,empirical_2_bands_equation1,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-05-30
world,empirical_2_bands_equation2,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-05-30
world,empirical_3_bands_equation1,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-05-30
world,empirical_3_bands_equation3,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2023-05-30
world,3_bands_model_chl_conc,8.5303,0.0195,22.234,7.5418,2.7741,12.2316,13.3019,15.0144,4.5515,342,2023-06-02
world,MCI,0.0,0.0,0.0014,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-06-02
world,conc_chl,10.1566,0.0315,31.4625,7.9301,0.0021,18.0918,20.6401,22.7794,8.392,342,2023-06-02
world,conc_tsm,1.0631,0.0109,10.9722,0.6747,0.0291,1.5502,1.7034,2.1739,1.3245,342,2023-06-02
world,empirical_2_bands_equation1,12.8351,0.0318,33.8652,11.8821,2.0518,20.2491,21.617,24.0667,7.6924,342,2023-06-02
world,empirical_2_bands_equation2,7.9488,0.021,21.336,7.4578,0.372,13.16,14.1663,15.7176,5.445,342,2023-06-02
world,empirical_3_bands_equation1,13.1049,0.011,20.5919,12.6527,9.5805,15.5267,16.1323,17.0463,2.7232,342,2023-06-02
world,empirical_3_bands_equation3,9.631,0.0162,21.0638,8.8513,4.8883,12.9437,13.8334,15.2568,3.8598,342,2023-06-02
world,3_bands_model_chl_conc,2.5878,0.0114,12.7776,2.3795,1.3512,2.8252,3.0194,3.3851,0.7213,2376,2023-06-04
world,MCI,0.0,0.0,0.0009,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-06-04
world,conc_chl,0.4205,0.0128,12.8398,0.3726,0.0003,0.5524,0.5781,0.6166,0.45,2376,2023-06-04
world,conc_tsm,0.3972,0.011,10.9762,0.3648,0.014,0.5073,0.5511,0.595,0.3014,2376,2023-06-04
world,empirical_2_bands_equation1,5.6571,0.0271,28.009,5.9896,0.9581,6.1789,6.233,6.2871,1.3011,2376,2023-06-04
world,empirical_2_bands_equation2,2.0794,0.0159,15.5552,2.2147,-0.3263,2.2941,2.31,2.3577,0.7634,2376,2023-06-04
world,empirical_3_bands_equation1,9.7347,0.0072,16.3138,9.6619,9.1612,9.7978,9.8479,9.9552,0.3352,2376,2023-06-04
world,empirical_3_bands_equation3,5.079,0.0097,14.1202,4.9858,4.3821,5.1514,5.2195,5.3461,0.4312,2376,2023-06-04
world,3_bands_model_chl_conc,6.6412,0.025,27.1012,5.519,2.1507,9.8355,10.8584,11.9562,3.8441,564,2023-06-07
world,MCI,0.0,0.0,0.0017,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-06-07
world,conc_chl,5.9743,0.0281,28.1078,2.8116,0.0009,12.115,14.9256,17.5677,6.8555,564,2023-06-07
world,conc_tsm,0.9715,0.0176,17.6632,0.6149,0.0149,1.462,1.7091,2.0268,1.2305,564,2023-06-07
world,empirical_2_bands_equation1,9.905,0.0372,38.2701,7.0066,1.0959,16.1143,18.0473,19.8317,6.4312,564,2023-06-07
world,empirical_2_bands_equation2,5.8029,0.0246,24.3879,4.0691,-0.2111,10.2927,11.498,12.9248,4.6448,564,2023-06-07
world,empirical_3_bands_equation1,11.9874,0.0135,22.7659,11.2719,9.3069,14.0445,14.6905,15.3634,2.3193,564,2023-06-07
world,empirical_3_bands_equation3,8.0729,0.0204,24.9133,7.0201,4.557,10.7657,11.7021,12.6792,3.2152,564,2023-06-07
world,3_bands_model_chl_conc,2.8358,0.017,18.7031,2.6025,1.7014,3.0616,3.2146,3.4866,0.8761,2599,2023-06-14
world,MCI,0.0,0.0,0.0009,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-06-14
world,conc_chl,0.485,0.0136,13.6082,0.3964,0.0018,0.6005,0.6413,0.6821,0.7194,2599,2023-06-14
world,conc_tsm,0.5126,0.0115,11.557,0.4879,0.0147,0.6033,0.6264,0.6841,0.4121,2599,2023-06-14
world,empirical_2_bands_equation1,5.8683,0.0301,30.937,5.9429,0.8598,6.1233,6.1835,6.2737,1.3441,2599,2023-06-14
world,empirical_2_bands_equation2,2.2968,0.0193,19.0354,2.2525,-0.2775,2.3877,2.4263,2.5422,0.9326,2599,2023-06-14
world,empirical_3_bands_equation1,9.8701,0.0097,18.9695,9.7565,9.2511,9.9217,9.9897,10.0966,0.4814,2599,2023-06-14
world,empirical_3_bands_equation3,5.2479,0.0138,18.3319,5.099,4.4899,5.3066,5.3897,5.5142,0.6328,2599,2023-06-14
world,3_bands_model_chl_conc,7.5988,0.0218,25.0127,6.6904,3.2263,9.3919,10.503,11.7666,2.8595,2413,2023-08-21
world,MCI,0.0,0.0,0.0016,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-08-21
world,conc_chl,10.8303,0.0369,36.946,7.9843,0.0051,16.924,19.8793,23.3887,7.8927,2413,2023-08-21
world,conc_tsm,0.8108,0.0126,12.6558,0.7101,0.0148,0.9629,1.064,1.241,0.689,2413,2023-08-21
world,empirical_2_bands_equation1,10.8613,0.0362,37.0596,9.1287,0.8796,15.4602,17.3054,19.6209,5.5335,2413,2023-08-21
world,empirical_2_bands_equation2,6.7595,0.0235,23.1427,5.6745,-0.3361,9.9007,11.1451,12.7181,3.7505,2413,2023-08-21
world,empirical_3_bands_equation1,12.5409,0.012,21.8556,11.9802,9.8271,13.8326,14.4701,15.264,1.7762,2413,2023-08-21
world,empirical_3_bands_equation3,8.7638,0.0181,23.2751,7.9388,5.1898,10.4707,11.3931,12.5505,2.5078,2413,2023-08-21
world,3_bands_model_chl_conc,3.3702,0.0228,24.5029,3.2252,1.746,3.7031,3.8852,4.0672,0.9061,2499,2023-09-02
world,MCI,0.0,0.0,0.0009,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-09-02
world,conc_chl,0.3363,0.0215,21.5139,0.2158,0.0007,0.3449,0.3664,0.431,0.8991,2499,2023-09-02
world,conc_tsm,0.1275,0.0116,11.5896,0.0798,0.0103,0.1377,0.1609,0.184,0.3713,2499,2023-09-02
world,empirical_2_bands_equation1,3.3677,0.0377,38.4468,3.193,0.7422,4.2487,4.4749,4.7389,1.8719,2499,2023-09-02
world,empirical_2_bands_equation2,0.9566,0.0233,22.9416,0.7767,-0.3164,1.4047,1.5442,1.707,1.1868,2499,2023-09-02
world,empirical_3_bands_equation1,9.8283,0.0123,21.664,9.7345,9.4035,9.9061,9.9552,10.0165,0.5089,2499,2023-09-02
world,empirical_3_bands_equation3,5.1972,0.0183,22.9351,5.0753,4.6735,5.2762,5.3492,5.4223,0.699,2499,2023-09-02
world,3_bands_model_chl_conc,3.209,0.0177,19.5276,3.0191,1.8715,3.5841,3.8137,4.0785,0.9823,2588,2023-09-07
world,MCI,0.0,0.0,0.0011,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-09-07
world,conc_chl,0.3174,0.0228,22.8104,0.1601,0.0004,0.2513,0.2969,0.3882,1.0614,2588,2023-09-07
world,conc_tsm,0.2592,0.0125,12.4741,0.1947,0.0077,0.2944,0.3318,0.3817,0.5043,2588,2023-09-07
world,empirical_2_bands_equation1,4.5772,0.0305,31.2509,4.9055,0.7586,5.6069,5.7288,5.9728,1.9762,2588,2023-09-07
world,empirical_2_bands_equation2,1.6455,0.0199,19.5217,1.7742,-0.3301,2.1911,2.2506,2.3102,1.2624,2588,2023-09-07
world,empirical_3_bands_equation1,9.8931,0.0101,19.3357,9.8034,9.2272,9.9449,10.0056,10.0662,0.5328,2588,2023-09-07
world,empirical_3_bands_equation3,5.2775,0.0145,18.9381,5.1706,4.4612,5.3298,5.4022,5.4891,0.7129,2588,2023-09-07
world,3_bands_model_chl_conc,8.7831,0.0291,33.1427,8.2977,4.0161,10.2783,10.8608,11.589,2.25,2536,2023-09-10
world,MCI,0.0,0.0,0.0016,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2023-09-10
world,conc_chl,14.3027,0.0332,33.4369,12.8967,0.2002,20.5411,22.7679,25.161,6.9673,2536,2023-09-10
world,conc_tsm,1.1025,0.0223,22.4256,1.0033,0.1339,1.2262,1.3154,1.4491,0.643,2536,2023-09-10
world,empirical_2_bands_equation1,13.5899,0.0403,44.1033,12.8054,3.8229,16.8738,18.1627,19.6531,4.3583,2536,2023-09-10
world,empirical_2_bands_equation2,8.6757,0.0262,27.8064,8.2165,1.5817,10.839,11.7044,12.5961,2.8401,2536,2023-09-10
world,empirical_3_bands_equation1,13.3569,0.0151,25.3136,13.0922,10.2626,14.3415,14.7177,15.1843,1.3751,2536,2023-09-10
world,empirical_3_bands_equation3,9.8537,0.024,29.6998,9.4445,5.7291,11.2184,11.7457,12.4169,1.969,2536,2023-09-10
world,3_bands_model_chl_conc,9.6221,0.0211,24.9777,9.495,3.9128,11.6436,12.107,12.739,2.5626,2678,2023-09-15
world,MCI,0.0,0.0,0.0019,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001,34254,2023-09-15
world,conc_chl,14.7073,0.0399,40.0675,14.5979,0.209,20.2578,21.4137,22.5298,6.2507,2678,2023-09-15
world,conc_tsm,1.8335,0.016,16.1522,1.7278,0.1606,2.2715,2.5434,2.8632,1.0547,2678,2023-09-15
world,empirical_2_bands_equation1,15.3104,0.0343,37.8493,15.5039,3.5771,19.171,19.9935,20.9531,4.8138,2678,2023-09-15
world,empirical_2_bands_equation2,9.7849,0.0218,23.1312,10.0023,1.3225,12.4449,12.9247,13.5353,3.1816,2678,2023-09-15
world,empirical_3_bands_equation1,13.8846,0.0117,21.8431,13.8987,10.1083,15.1308,15.4359,15.7527,1.556,2678,2023-09-15
world,empirical_3_bands_equation3,10.6057,0.0177,23.2528,10.5683,5.537,12.3576,12.8005,13.2788,2.2194,2678,2023-09-15
world,3_bands_model_chl_conc,11.0249,0.0142,20.4521,11.0117,6.2347,12.4335,12.6752,12.9311,1.7823,1886,2023-09-25
world,MCI,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,34254,2023-09-25
world,conc_chl,27.1753,0.0332,37.257,28.7463,4.0118,33.7331,34.4312,35.0629,7.1462,1886,2023-09-25
